Date,Open,High,Low,Close,Volume
5/7/2018,2680.340088,2732.860107,2655.199951,2727.719971,17181050000
5/14/2018,2738.469971,2742.100098,2701.909912,2712.969971,16395450000
5/21/2018,2735.389893,2742.23999,2707.379883,2721.330078,16071790000
5/28/2018,2705.110107,2736.929932,2676.810059,2734.620117,15245210000
6/4/2018,2741.669922,2779.899902,2739.51001,2779.030029,17477350000
6/11/2018,2780.179932,2791.469971,2761.72998,2779.659912,19511520000
6/18/2018,2765.790039,2774.98999,2743.189941,2754.879883,19124110000
6/25/2018,2742.939941,2746.090088,2691.98999,2718.370117,18084070000
7/2/2018,2704.949951,2764.409912,2698.949951,2759.820068,10576910000
7/9/2018,2775.620117,2804.530029,2770.72998,2801.310059,14590400000
7/16/2018,2797.360107,2816.76001,2789.23999,2801.830078,15517950000
7/23/2018,2799.169922,2848.030029,2795.139893,2818.820068,17044960000
7/30/2018,2819,2840.379883,2796.340088,2840.350098,17214500000
8/6/2018,2840.290039,2863.429932,2825.810059,2833.280029,15374300000
8/13/2018,2835.459961,2855.629883,2802.48999,2850.129883,16086450000
8/20/2018,2853.929932,2876.159912,2850.620117,2874.689941,13959870000
8/27/2018,2884.689941,2916.5,2884.689941,2901.52002,14056030000
9/3/2018,2896.959961,2900.179932,2864.120117,2871.679932,12457020000
9/10/2018,2881.389893,2908.300049,2866.780029,2904.97998,15450380000
9/17/2018,2903.830078,2940.909912,2886.159912,2929.669922,18420620000
9/24/2018,2921.830078,2931.149902,2903.280029,2913.97998,16703490000
10/1/2018,2926.290039,2939.860107,2869.290039,2885.570068,17285210000
10/8/2018,2877.530029,2894.830078,2710.51001,2767.129883,20405870000
10/15/2018,2763.830078,2816.939941,2749.030029,2767.780029,17367750000
10/22/2018,2773.939941,2778.939941,2628.159912,2658.689941,21911910000
10/29/2018,2682.649902,2756.550049,2603.540039,2723.060059,23951720000
11/5/2018,2726.370117,2815.149902,2717.939941,2781.01001,18826370000
11/12/2018,2773.929932,2775.98999,2670.75,2736.27002,20465380000
11/19/2018,2730.73999,2733.159912,2631.090088,2632.560059,13066840000
11/26/2018,2649.969971,2760.879883,2649.969971,2760.169922,19269950000
12/3/2018,2790.5,2800.179932,2621.530029,2633.080078,18159960000
12/10/2018,2630.860107,2685.439941,2583.22998,2599.949951,20198330000
12/17/2018,2590.75,2601.129883,2408.550049,2416.620117,27611110000
12/24/2018,2400.560059,2520.27002,2346.580078,2485.73999,14730860000
12/31/2018,2498.939941,2538.070068,2443.959961,2531.939941,15288050000
1/7/2019,2535.610107,2597.820068,2524.560059,2596.26001,19510680000
1/14/2019,2580.310059,2675.469971,2570.409912,2670.709961,18984150000
1/21/2019,2657.879883,2672.379883,2612.860107,2664.76001,14552950000
1/28/2019,2644.969971,2716.659912,2624.060059,2706.530029,19768450000
2/4/2019,2706.48999,2738.97998,2681.830078,2707.879883,18217210000
2/11/2019,2712.399902,2775.659912,2703.790039,2775.600098,18417330000
2/18/2019,2769.280029,2794.199951,2764.550049,2792.669922,14467710000
2/25/2019,2804.350098,2813.48999,2775.129883,2803.689941,19748980000
3/4/2019,2814.370117,2816.879883,2722.27002,2743.070068,18737740000
3/11/2019,2747.610107,2830.72998,2747.610107,2822.47998,20454890000
3/18/2019,2822.610107,2860.310059,2800.469971,2800.709961,18917020000
3/25/2019,2796.01001,2836.030029,2785.02002,2834.399902,17055060000
4/1/2019,2848.629883,2893.23999,2848.629883,2892.73999,16592010000
4/8/2019,2888.459961,2910.540039,2873.330078,2907.409912,15877870000
4/15/2019,2908.320068,2918,2891.899902,2905.030029,13672850000
4/22/2019,2898.780029,2939.879883,2896.350098,2939.879883,16857490000
4/29/2019,2940.580078,2954.129883,2900.5,2945.639893,17918950000
5/6/2019,2908.889893,2937.320068,2825.389893,2881.399902,17765260000
5/13/2019,2840.189941,2892.149902,2801.429932,2859.530029,17050540000
5/20/2019,2841.939941,2868.879883,2805.48999,2826.060059,16499350000
5/27/2019,2830.030029,2840.51001,2750.52002,2752.060059,15106790000
6/3/2019,2751.530029,2884.969971,2728.810059,2873.340088,18026770000
6/10/2019,2885.830078,2910.610107,2874.679932,2886.97998,15894210000
6/17/2019,2889.75,2964.149902,2887.300049,2950.459961,18516760000
6/24/2019,2951.419922,2954.919922,2912.98999,2941.76001,18812890000
7/1/2019,2971.409912,2995.840088,2952.219971,2990.409912,11147600000
7/8/2019,2979.77002,3013.919922,2963.439941,3013.77002,15253340000
